method,global_bias,global_RMSE,global_MAE,fortleza_N,fortleza_RMSE,fortleza_MAE,fortleza_RMSE_bc_global,fortleza_MAE_bc_global,fortleza_RMSE_bc_local,fortleza_MAE_bc_local,matera_N,matera_RMSE,matera_MAE,matera_RMSE_bc_global,matera_MAE_bc_global,matera_RMSE_bc_local,matera_MAE_bc_local,kokee_N,kokee_RMSE,kokee_MAE,kokee_RMSE_bc_global,kokee_MAE_bc_global,kokee_RMSE_bc_local,kokee_MAE_bc_local,onsala60_N,onsala60_RMSE,onsala60_MAE,onsala60_RMSE_bc_global,onsala60_MAE_bc_global,onsala60_RMSE_bc_local,onsala60_MAE_bc_local,wettzell_N,wettzell_RMSE,wettzell_MAE,wettzell_RMSE_bc_global,wettzell_MAE_bc_global,wettzell_RMSE_bc_local,wettzell_MAE_bc_local,ishioka_N,ishioka_RMSE,ishioka_MAE,ishioka_RMSE_bc_global,ishioka_MAE_bc_global,ishioka_RMSE_bc_local,ishioka_MAE_bc_local,hobart12_N,hobart12_RMSE,hobart12_MAE,hobart12_RMSE_bc_global,hobart12_MAE_bc_global,hobart12_RMSE_bc_local,hobart12_MAE_bc_local,westford_N,westford_RMSE,westford_MAE,westford_RMSE_bc_global,westford_MAE_bc_global,westford_RMSE_bc_local,westford_MAE_bc_local,wettz13s_N,wettz13s_RMSE,wettz13s_MAE,wettz13s_RMSE_bc_global,wettz13s_MAE_bc_global,wettz13s_RMSE_bc_local,wettz13s_MAE_bc_local,sejong_N,sejong_RMSE,sejong_MAE,sejong_RMSE_bc_global,sejong_MAE_bc_global,sejong_RMSE_bc_local,sejong_MAE_bc_local,hobart26_N,hobart26_RMSE,hobart26_MAE,hobart26_RMSE_bc_global,hobart26_MAE_bc_global,hobart26_RMSE_bc_local,hobart26_MAE_bc_local,raegyeb_N,raegyeb_RMSE,raegyeb_MAE,raegyeb_RMSE_bc_global,raegyeb_MAE_bc_global,raegyeb_RMSE_bc_local,raegyeb_MAE_bc_local,yebes40m_N,yebes40m_RMSE,yebes40m_MAE,yebes40m_RMSE_bc_global,yebes40m_MAE_bc_global,yebes40m_RMSE_bc_local,yebes40m_MAE_bc_local,onsa13ne_N,onsa13ne_RMSE,onsa13ne_MAE,onsa13ne_RMSE_bc_global,onsa13ne_MAE_bc_global,onsa13ne_RMSE_bc_local,onsa13ne_MAE_bc_local,onsa13sw_N,onsa13sw_RMSE,onsa13sw_MAE,onsa13sw_RMSE_bc_global,onsa13sw_MAE_bc_global,onsa13sw_RMSE_bc_local,onsa13sw_MAE_bc_local,wark12m_N,wark12m_RMSE,wark12m_MAE,wark12m_RMSE_bc_global,wark12m_MAE_bc_global,wark12m_RMSE_bc_local,wark12m_MAE_bc_local,raegsmar_N,raegsmar_RMSE,raegsmar_MAE,raegsmar_RMSE_bc_global,raegsmar_MAE_bc_global,raegsmar_RMSE_bc_local,raegsmar_MAE_bc_local,kokee12m_N,kokee12m_RMSE,kokee12m_MAE,kokee12m_RMSE_bc_global,kokee12m_MAE_bc_global,kokee12m_RMSE_bc_local,kokee12m_MAE_bc_local
DTEC_Fusion_2023_236_SW1_LW100,3.0787988735897587,5.433474012259403,4.1475137075428945,151.0,6.039294751515309,5.781295586241961,4.5154358281066695,3.47729378176944,4.386182043012116,2.8393123471159862,176.0,4.614607120903411,4.364818040002345,2.32222077603273,1.985746184780718,2.0747738838988488,1.3744142010310225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion_2023_236_SW1_LW1000,3.354962983829698,5.525632658317404,4.129164419115,151.0,5.10299601163675,4.577645700012738,2.660624256278711,1.9656731508252177,2.400006958175737,1.8297833940814003,176.0,4.661053506690828,4.372341966823967,2.0935695971455353,1.7798705716698522,1.8868475297560243,1.2616872973049182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS_2023_236_SW1_LW1,2.968047593466521,5.290242387179779,3.9987285398859598,151.0,6.127035707938886,5.8761789807990805,4.630011390453658,3.6550572731970563,4.463974011447798,2.884058793339697,176.0,4.710249809938669,4.483926120866298,2.4868535923259127,2.190434800104272,2.171692570740048,1.4411665131509677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTEC_Fusion_2023_257_SW1_LW100,1.7814338381342176,4.758355536321548,3.5219639380804253,53.0,1.6311780649728207,1.3828331714425839,0.9525737731506133,0.8601603937275634,0.8651672090448889,0.7683850579245416,240.0,4.577348428309722,4.402088004247696,2.9054376745864126,2.620654163352748,1.2544878783822542,1.026953550009507,499.0,13.25109748098514,9.648407527684808,14.346688916331946,9.98594538932739,10.858051220714483,10.207495597782932,510.0,2.137710894483235,1.925325169595356,1.0286980299518391,0.8324608416950476,1.0243121894518503,0.8240794859957637,194.0,3.386422362557213,3.005371413711039,1.9833361453437557,1.611394418780377,1.5606406002908184,1.32165925039978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion_2023_257_SW1_LW1000,2.130267080840277,4.383046212906923,3.31116536418765,53.0,1.6831180747373082,1.632968251312268,0.6431230583691258,0.5316513591279363,0.40780037238038036,0.33778317916211287,240.0,4.4530349248686045,4.272716317471217,2.4826405398090468,2.2210572587142026,1.2543585263052746,1.005285363171303,499.0,8.753719408500919,6.684394864319176,9.877755956478996,6.883215178417802,7.861465295767088,7.223926452183988,510.0,2.157599588813312,1.9731210358207552,1.0297521728083312,0.7879795062879187,1.0056744116673597,0.8028922736203021,194.0,3.338206493559608,2.9855357007276027,1.7209542666273911,1.3567201381895395,1.4933851389793844,1.2828441308124217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS_2023_257_SW1_LW1,1.683831278751455,4.720572775725088,3.4941242743341974,53.0,1.7878205778229745,1.6068256631107092,0.7876189252255348,0.7111451334020085,0.7838454610802471,0.7154361476533273,240.0,4.513671998832967,4.363737787700048,2.9176919544718074,2.679906511045122,1.153701622278255,1.0079977431494425,499.0,14.51739170948286,10.543581184467296,15.577053618913432,10.83549310664355,11.675623477541832,11.004285178365066,510.0,2.1332860127964866,1.9233165221383584,1.0164196513508654,0.8427681833722683,0.9960096279343381,0.8065553427786001,194.0,3.3870993280929973,3.036036717953989,2.0207380980923766,1.6229713550638634,1.5016400719224308,1.2769204093956172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTEC_Fusion_2023_054_SW1_LW100,1.0022241134989351,5.967532932293574,4.4448919536182725,,,,,,,,120.0,5.609761386712509,5.4908702236256115,4.633326113284279,4.488646106443423,1.1488111259699267,1.0705041363149448,336.0,3.4078621942925365,2.930944878114752,2.6116906798974404,2.2055249678400473,1.802588609810503,1.5737238828188287,,,,,,,,66.0,4.564155158566879,4.534982552868676,3.5701299306276533,3.532758435686488,0.5152140881705064,0.4278108264468218,271.0,6.840195060805068,6.452642628206539,5.904128515524604,5.450418511024351,2.269729407333363,1.9215276915056676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion_2023_054_SW1_LW1000,1.5540794076362545,5.8480377158878785,4.338610437439064,,,,,,,,120.0,5.476421793236484,5.321496345782391,3.9832527790757326,3.767416940392233,1.2933956468382652,1.1903528247740638,336.0,4.742767628314387,4.226874727562698,3.4309196504590513,2.737880427701885,2.1511333788676703,1.6768806439559831,,,,,,,,66.0,4.278795206561262,4.246618445910113,2.743006868250924,2.6925390405199554,0.5237558539506912,0.44761016610103954,271.0,6.861268069551497,6.389207464321514,5.443665203369003,4.835128058931356,2.5010052978962634,2.2606619336971914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS_2023_054_SW1_LW1,1.2349503247874964,5.683497591154256,4.228697694150927,,,,,,,,120.0,5.738584477868059,5.588801100039593,4.544520950617767,4.353850777964185,1.3025567449537374,1.2018987483249872,336.0,2.7052864180886913,2.2892287994894795,1.8012403364401488,1.5492875614128305,1.4762743130674711,1.2066792579762862,,,,,,,,66.0,4.537173800986025,4.502593562293058,3.3151304134967607,3.2676432402176507,0.5591040271283082,0.4796900335244412,271.0,6.678612139436087,6.239965879628141,5.542279915472023,5.005015557552733,2.380480188974418,1.957107260667353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTEC_Fusion_2023_095_SW1_LW100,2.816564832955957,5.084937658641089,3.945200018819163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2.290984367643503,1.953173468791773,1.4762003316094945,1.1030690647741352,1.1973816323941229,1.1750183450118854,,,,,,,,253.0,1.692861759704732,1.5768386905134955,1.3842982289140384,1.2516555637156235,0.6159226262853852,0.5243047687107234,13.0,1.2785460448687673,1.2780199298521553,1.5389819565486555,1.5385449017926214,0.03667489264143204,0.03178915892832375,48.0,2.290984367643503,1.953173468791773,1.4762003316094945,1.1030690647741352,1.1973816323941229,1.1750183450118854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
