station,correction,approach,SW,LW,RMSE,MAE,mean,median,count
kokee,raw,GNSS,1,1,5.34446276126119,3.7057936776273346,1.8533576600525925,1.9237612104712092,33286
kokee,raw,DTEC,1,100,5.2276786139213405,3.6534353254967904,1.8680079148227522,1.9120154762291792,33286
kokee,raw,Fusion,1,1000,5.064195512915208,3.6255723937203115,2.1989160150114655,2.0019190240611238,33286
kokee,global_bc,GNSS,1,1,4.974455340612804,3.213277154756463,0.19018900175335385,0.26193988259646417,33286
kokee,global_bc,DTEC,1,100,4.825294867211031,3.163465676293822,0.26042424225562855,0.32815252055731603,33286
kokee,global_bc,Fusion,1,1000,4.56823553831644,3.1000086296441975,0.1385063862397702,0.025973575451549498,33286
kokee,local_bc,GNSS,1,1,3.498567126036187,2.29705791160518,6.083779357436416e-17,-0.01243652892553465,33286
kokee,local_bc,DTEC,1,100,3.3714456606061587,2.2380354218816096,1.3405661180596735e-16,-0.0386813340794751,33286
kokee,local_bc,Fusion,1,1000,3.2335527048865433,2.2235891358819555,7.94093305602227e-17,-0.088318767880462,33286
hobart12,raw,GNSS,1,1,3.0931756189623716,2.6233492382331147,2.4945229034661045,2.4803429481980253,39156
hobart12,raw,DTEC,1,100,3.136525872204391,2.6632979268355133,2.5499688000089598,2.471543496969476,39156
hobart12,raw,Fusion,1,1000,3.0815765054585302,2.6250281243215934,2.5050520565980583,2.4359848867191314,39156
hobart12,global_bc,GNSS,1,1,2.1321694771306356,1.6423170991268454,0.842263369680885,0.8290278557548509,39156
hobart12,global_bc,DTEC,1,100,2.2370816737066113,1.7149401666846922,1.0678475977954642,0.9920242713234656,39156
hobart12,global_bc,Fusion,1,1000,1.950608159922392,1.4878810479724376,0.4646906742782832,0.39743294748900415,39156
hobart12,local_bc,GNSS,1,1,1.478476490663064,1.112329138373492,-9.073229335990655e-18,0.03863288511625345,39156
hobart12,local_bc,DTEC,1,100,1.4557720018592513,1.097630621184814,-1.6513277391502993e-17,-0.01567841982060135,39156
hobart12,local_bc,Fusion,1,1000,1.4659067639296677,1.0928845520320458,1.633181280478318e-17,0.00423898332562095,39156
onsala60,raw,GNSS,1,1,2.3297324198758025,1.9322171315159375,1.7146274800500754,1.7025971874900496,14788
onsala60,raw,DTEC,1,100,2.308912371317584,1.9212630383743705,1.7029941452311392,1.6818455513711328,14788
onsala60,raw,Fusion,1,1000,2.2434203873165113,1.8842636187775716,1.686346797899673,1.6850779002787917,14788
onsala60,global_bc,GNSS,1,1,1.7517426907280889,1.3652747223200337,0.1433544475314884,0.1291336393324705,14788
onsala60,global_bc,DTEC,1,100,1.7970462498056752,1.3790185878734362,0.32343743776533307,0.21158519002673626,14788
onsala60,global_bc,Fusion,1,1000,1.600330777415614,1.2495483225582769,-0.26078186338365245,-0.21886357084618002,14788
onsala60,local_bc,GNSS,1,1,1.373542507457977,1.0127629002136238,-2.0420656119694522e-17,-0.043375393851351196,14788
onsala60,local_bc,DTEC,1,100,1.3596877349204834,1.0106992847633465,-2.47450303568063e-17,-0.0826989568513614,14788
onsala60,local_bc,Fusion,1,1000,1.285111079720021,0.9642580448667482,3.7958396081314524e-17,-0.0184771637749825,14788
