station,method,correction,RMSE_allDOY,MAE_allDOY,count
fortleza,DTEC LW,glob-bias-corr,4.481938874270268,3.025859042553192,11280
fortleza,DTEC LW,local-bias-corr,3.2675373952615483,2.2932739361702126,11280
fortleza,DTEC LW,raw,4.870546764892735,3.457715425531915,11280
fortleza,DTEC SW,glob-bias-corr,4.760159714265809,3.2003900709219852,11280
fortleza,DTEC SW,local-bias-corr,3.265695158311822,2.2907632978723407,11280
fortleza,DTEC SW,raw,5.1845076433106065,3.6547420212765958,11280
fortleza,Fusion LW,glob-bias-corr,5.487007827813103,3.6541702127659574,11280
fortleza,Fusion LW,local-bias-corr,3.90091450566357,2.6521870567375885,11280
fortleza,Fusion LW,raw,5.821344614482755,4.114718971631206,11280
fortleza,Fusion SW,glob-bias-corr,4.9957078217276605,3.425198581560283,11280
fortleza,Fusion SW,local-bias-corr,3.703600948032807,2.5472331560283688,11280
fortleza,Fusion SW,raw,5.358050983042196,3.888434397163121,11280
fortleza,GNSS,glob-bias-corr,4.6909704080066765,3.1804920212765957,11280
fortleza,GNSS,local-bias-corr,3.1629614722317902,2.236127659574468,11280
fortleza,GNSS,raw,5.041137872157366,3.5925833333333337,11280
hobart12,DTEC LW,glob-bias-corr,2.2368188609752897,1.7151279497395036,39156
hobart12,DTEC LW,local-bias-corr,1.455593324260183,1.0975615486770864,39156
hobart12,DTEC LW,raw,3.136594288510733,2.663413269996935,39156
hobart12,DTEC SW,glob-bias-corr,2.264730396092071,1.7373932475227294,39156
hobart12,DTEC SW,local-bias-corr,1.5093272755440403,1.1219496373480438,39156
hobart12,DTEC SW,raw,3.113598917231772,2.635081468995811,39156
hobart12,Fusion LW,glob-bias-corr,1.95049020807407,1.4882449688425787,39156
hobart12,Fusion LW,local-bias-corr,1.4659043677835095,1.0930868832362854,39156
hobart12,Fusion LW,raw,3.081455751751939,2.6247711717233626,39156
hobart12,Fusion SW,glob-bias-corr,2.1629567690735265,1.6612314843191338,39156
hobart12,Fusion SW,local-bias-corr,1.4864059337398319,1.1150909183777709,39156
hobart12,Fusion SW,raw,3.1191307064269793,2.6406719276739197,39156
hobart12,GNSS,glob-bias-corr,2.1324161205271053,1.6424024415159872,39156
hobart12,GNSS,local-bias-corr,1.4789198741917335,1.1126805598120337,39156
hobart12,GNSS,raw,3.0933120549505313,2.623602513024824,39156
hobart26,DTEC LW,glob-bias-corr,1.697733783606841,1.3582963232617402,2747
hobart26,DTEC LW,local-bias-corr,1.4445118764965703,1.0782672005824536,2747
hobart26,DTEC LW,raw,2.8802369406638686,2.5097815799053516,2747
hobart26,DTEC SW,glob-bias-corr,1.7659660872543286,1.4361012013105208,2747
hobart26,DTEC SW,local-bias-corr,1.4674416891414168,1.1071423370950126,2747
hobart26,DTEC SW,raw,2.8691586739282386,2.4768947943210775,2747
hobart26,Fusion LW,glob-bias-corr,1.8756034534317048,1.4088860575172917,2747
