name,lat,lon,grid
AC23,     60.48,   -150.88,     30.00
AC24,     58.68,   -156.65,     24.00
ACRG,      5.64,     -0.21,     20.00
ACSO,     40.23,    -82.98,     25.00
AJAC,     41.93,      8.76,     27.00
ALBH,     48.39,   -123.49,     24.00
ALGO,     45.96,    -78.07,     25.00
ALIC,    -23.67,    133.89,     17.00
ALRT,     82.49,    -62.34,     31.00
AMC4,     38.80,   -104.53,     25.00
ANK2,     39.84,     32.77,     27.00
ANMG,      2.79,    101.51,     22.00
ANTF,    -23.70,    -70.42,     13.00
AREG,    -16.46,    -71.49,     13.00
AREQ,    -16.47,    -71.49,     13.00
ARHT,    -77.83,    166.66,      5.00
ARTU,     56.43,     58.56,     27.00
ARUC,     40.29,     44.09,     27.00
ASCG,     -7.92,    -14.33,     14.00
ASPA,    -14.33,   -170.72,     12.00
BADG,     51.77,    102.23,     28.00
BAIE,     49.19,    -68.26,     25.00
BAKE,     64.32,    -96.00,     31.00
BAKO,     -6.49,    106.85,     16.00
BAMF,     48.84,   -125.14,     24.00
BARH,     44.40,    -68.22,     25.00
BAUT,     51.19,     14.52,     27.00
BELE,     -1.41,    -48.46,     14.00
BIK0,     42.85,     74.53,     28.00
BILL,     33.58,   -117.06,     25.00
BJFS,     39.61,    115.89,     28.00
BJNM,     40.24,    116.22,     28.00
BLYT,     33.61,   -114.72,     25.00
BNOA,     -8.75,    115.21,     16.00
BOGI,     52.48,     21.04,     27.00
BOR1,     52.28,     17.07,     27.00
BRAZ,    -15.95,    -47.88,     14.00
BREW,     48.13,   -119.68,     25.00
BRFT,     -3.88,    -38.43,     14.00
BRMG,     47.91,      7.63,     27.00
BRUN,      4.97,    114.95,     22.00
BRUX,     50.80,      4.36,     27.00
BSHM,     32.78,     35.02,     27.00
BUCU,     44.46,     26.13,     27.00
BZR2,     46.50,     11.34,     27.00
CAGS,     45.59,    -75.81,     25.00
CAS1,    -66.28,    110.52,      4.00
CHIL,     34.33,   -118.03,     25.00
CHPG,    -22.68,    -45.00,     14.00
CHPI,    -22.69,    -44.98,     14.00
CHTI,    -43.73,   -176.62,      6.00
CHUM,     43.00,     74.75,     28.00
CHUR,     58.76,    -94.09,     25.00
CHWK,     49.16,   -122.01,     24.00
CIBG,     -6.49,    106.85,     16.00
CIT1,     34.14,   -118.13,     25.00
CKIS,    -21.20,   -159.80,     12.00
CMP9,     34.35,   -118.41,     25.00
CMUM,     18.76,     98.93,     22.00
COCO,    -12.19,     96.83,     16.00
COSO,     35.98,   -117.81,     25.00
COTE,    -77.81,    162.00,      5.00
CPNM,     10.72,     99.37,     22.00
CPVG,     16.73,    -22.93,     20.00
CRFP,     34.04,   -117.10,     25.00
CUIB,    -15.55,    -56.07,     14.00
CUSV,     13.74,    100.53,     22.00
CUT0,    -32.00,    115.89,     10.00
CUUT,     13.74,    100.53,     22.00
CYNE,      4.82,    -52.37,     20.00
CZTG,    -46.43,     51.85,      9.00
DAKR,     14.72,    -17.44,     20.00
DARW,    -12.84,    131.13,     17.00
DAV1,    -68.58,     77.97,      4.00
DEAR,    -30.66,     23.99,      9.00
DGAR,     -7.27,     72.37,     16.00
DHLG,     33.39,   -115.79,     25.00
DLF1,     51.99,      4.39,     27.00
DLTV,     11.95,    108.48,     22.00
DRAG,     31.59,     35.39,     27.00
DRAO,     49.32,   -119.62,     25.00
DUBO,     50.26,    -95.87,     25.00
DUMG,    -66.67,    140.00,      5.00
DYNG,     38.08,     23.93,     27.00
EBRE,     40.82,      0.49,     27.00
EIL3,     64.69,   -147.11,     30.00
EIL4,     64.69,   -147.11,     30.00
EPRT,     44.91,    -66.99,     25.00
ESCU,     47.07,    -64.80,     25.00
FAA1,    -17.55,   -149.61,     12.00
FAIR,     64.98,   -147.50,     30.00
FFMJ,     50.09,      8.66,     27.00
FLIN,     54.73,   -101.98,     25.00
FRDN,     45.93,    -66.66,     25.00
FTNA,    -14.31,   -178.12,     12.00
GAMB,    -23.13,   -134.97,     12.00
GANP,     49.03,     20.32,     27.00
GCGO,     64.98,   -147.50,     30.00
GENO,     44.42,      8.92,     27.00
GLPS,     -0.74,    -90.30,     13.00
GLSV,     50.36,     30.50,     27.00
GODE,     39.02,    -76.83,     25.00
GODN,     39.02,    -76.83,     25.00
GODS,     39.02,    -76.83,     25.00
GODZ,     39.02,    -76.83,     25.00
GOL2,     35.42,   -116.89,     25.00
GOLD,     35.42,   -116.89,     25.00
GOP6,     49.91,     14.79,     27.00
GOP7,     49.91,     14.79,     27.00
GOPE,     49.91,     14.79,     27.00
GRAC,     43.75,      6.92,     27.00
GRAS,     43.76,      6.92,     27.00
GRAZ,     47.07,     15.49,     27.00
HAL1,     20.71,   -156.26,     18.00
HAMD,     34.87,     48.53,     27.00
HERS,     50.87,      0.34,     27.00
HERT,     50.87,      0.33,     27.00
HKSL,     22.37,    113.93,     22.00
HKWS,     22.43,    114.33,     22.00
HLFX,     44.68,    -63.61,     25.00
HNLC,     21.30,   -157.87,     18.00
HNPT,     38.59,    -76.13,     25.00
HNUS,    -34.42,     19.22,      9.00
HOLB,     50.64,   -128.13,     24.00
HOLM,     70.74,   -117.76,     31.00
HOLP,     33.92,   -118.17,     25.00
HUEG,     47.83,      7.60,     27.00
HYDE,     17.42,     78.55,     22.00
IENG,     45.02,      7.64,     27.00
IISC,     13.02,     77.57,     22.00
IITK,     26.52,     80.23,     22.00
INVK,     68.31,   -133.53,     30.00
IQAL,     63.76,    -68.51,     31.00
IQQE,    -20.27,    -70.13,     13.00
IRKJ,     52.22,    104.32,     28.00
IRKM,     52.22,    104.32,     28.00
ISBA,     33.34,     44.44,     27.00
ISPA,    -27.12,   -109.34,     13.00
ISTA,     41.10,     29.02,     27.00
IZMI,     38.40,     27.08,     27.00
JCTW,    -33.95,     18.47,      9.00
JDPR,     26.21,     73.02,     22.00
JFNG,     30.52,    114.49,     28.00
JNAV,     21.00,    105.84,     22.00
JOG2,     -7.76,    110.37,     16.00
JOZ2,     52.10,     21.03,     27.00
JOZE,     52.10,     21.03,     27.00
JPLM,     34.20,   -118.17,     25.00
KARR,    -20.98,    117.10,     16.00
KAT1,    -14.38,    132.15,     17.00
KERG,    -49.35,     70.26,     10.00
KHAR,     50.01,     36.24,     27.00
KIR0,     67.88,     21.06,     33.00
KIR8,     67.88,     21.06,     33.00
KIRU,     67.86,     20.97,     33.00
KIT3,     39.13,     66.89,     28.00
KITG,     39.13,     66.89,     28.00
KMNM,     24.46,    118.39,     22.00
KOKB,     22.13,   -159.66,     18.00
KOKV,     22.13,   -159.66,     18.00
KOS1,     52.17,      5.82,     27.00
KOUC,    -20.56,    164.29,     17.00
KOUG,      5.10,    -52.64,     20.00
KOUR,      5.25,    -52.81,     20.00
KRGG,    -49.35,     70.26,     10.00
KRS1,     40.59,     43.09,     27.00
KSU1,     39.10,    -96.61,     25.00
KUJ2,     55.29,    -77.73,     25.00
KZN2,     55.79,     49.12,     27.00
LAE1,     -6.67,    146.99,     17.00
LAMA,     53.89,     20.67,     27.00
LAUT,    -17.61,    177.45,     17.00
LBCH,     33.79,   -118.20,     25.00
LCK3,     26.91,     80.96,     22.00
LCK4,     26.91,     80.96,     22.00
LEIJ,     51.35,     12.37,     27.00
LHAZ,     29.66,     91.10,     22.00
LLAG,     28.48,    -16.32,     20.00
LPAL,     28.76,    -17.89,     20.00
M0SE,     41.89,     12.49,     27.00
MAR6,     60.59,     17.26,     33.00
MAR7,     60.59,     17.26,     33.00
MARS,     43.28,      5.35,     27.00
MAS1,     27.76,    -15.63,     20.00
MAT1,     40.65,     16.70,     27.00
MATE,     40.65,     16.70,     27.00
MATG,     40.65,     16.70,     27.00
MAUI,     20.71,   -156.26,     18.00
MAW1,    -67.61,     62.87,      4.00
